Mean Average Precision at 10: 0.4672990467792055
Mean Average Precision at 20: 0.439910224386181
Mean NDCG at 10: 0.5027668642160645
Mean NDCG at 20: 0.5738180360305455
Query     AP@10     AP@20     NDCG@10   NDCG@20   
1         0.6917    0.5707    0.4602    0.6412    
2         0.8611    0.7514    0.5724    0.6812    
4         0.7407    0.7407    0.841     0.841     
8         0.6429    0.6429    0.6781    0.6781    
9         0.3595    0.3595    0.4938    0.4938    
10        0.3333    0.3333    0.6309    0.6309    
12        0.3333    0.3333    0.5089    0.5089    
13        0.5       0.3       0.5       0.6157    
15        0.8667    0.8667    0.9239    0.9239    
18        0.7917    0.7917    0.8262    0.8262    
22        0.5       0.5       0.7857    0.7857    
23        0.6111    0.4983    0.4492    0.5288    
26        0         0         0         0         
27        0.75      0.75      0.6       0.6       
29        0.8333    0.8333    0.9077    0.9077    
31        0.5       0.5       1.0       1.0       
32        1.0       1.0       1.0       1.0       
33        0.25      0.25      0.5       0.5       
34        0.1429    0.1429    0.3562    0.3562    
35        0.6607    0.6399    0.6877    0.8045    
39        0         0.0769    0.0       0.2702    
40        0         0         0         0         
41        0.5533    0.5089    0.4087    0.6008    
49        0.5       0.4048    0.4791    0.6049    
50        0.9444    0.8683    0.8919    0.9504    
51        0.3333    0.3333    0.5089    0.5089    
52        0.1736    0.1736    0.3262    0.3262    
53        0         0         0         0         
54        0.8333    0.8333    0.8307    0.8307    
55        0         0.0833    0.0       0.2789    
56        0         0         0         0         
57        0.3611    0.3611    0.6577    0.6577    
58        0.6389    0.6389    0.8313    0.8313    
59        0.1667    0.1895    0.1383    0.3599    
61        0         0.0526    0.0       0.2354    
62        1.0       1.0       1.0       1.0       
66        0.1964    0.1964    0.3448    0.3448    
67        0         0.0667    0.0       0.256     
68        0.4167    0.3294    0.3448    0.5834    
69        0.25      0.1917    0.2143    0.3605    
71        0.8333    0.6465    0.6229    0.7026    
72        0.2111    0.2316    0.3082    0.3879    
74        0.9167    0.6658    0.4629    0.5975    
79        0         0         0         0         
80        0.3929    0.3119    0.4332    0.544     
81        0.4439    0.4532    0.5033    0.5627    
82        0.4557    0.4801    0.4288    0.5305    
83        0.5556    0.5556    0.7467    0.7467    
84        1.0       1.0       1.0       1.0       
85        1.0       1.0       1.0       1.0       
