Mean Average Precision at 10: 0.03867901234567902
Mean Average Precision at 20: 0.039789369939008744
Mean NDCG at 10: 0.05172305474092065
Mean NDCG at 20: 0.0678484658413697
Query     AP@10     AP@20     NDCG@10   NDCG@20   
1         0         0         0         0         
2         0         0.0833    0.0       0.2789    
4         1.0       1.0       1.0       1.0       
8         0         0         0         0         
9         0         0         0         0         
10        0         0         0         0         
12        0         0         0         0         
13        0         0         0         0         
15        0         0         0         0         
18        0.2       0.2       0.4307    0.4307    
22        0         0         0         0         
23        0         0         0         0         
26        0.1429    0.1429    0.3562    0.3562    
27        1.0       0.5625    0.2       0.4       
29        0         0         0         0         
31        0         0         0         0         
32        0         0         0         0         
33        0         0         0         0         
34        0         0         0         0         
35        0         0         0         0         
39        0         0         0         0         
40        0         0         0         0         
41        0         0         0         0         
49        0         0         0         0         
50        0         0.0625    0.0       0.25      
51        0         0         0         0         
52        0         0         0         0         
53        0         0         0         0         
54        0         0         0         0         
55        0         0         0         0         
56        0         0         0         0         
57        0         0         0         0         
58        0         0         0         0         
59        0         0         0         0         
61        0         0         0         0         
62        0         0         0         0         
66        0         0         0         0         
67        0         0         0         0         
68        0         0         0         0         
69        0         0         0         0         
71        0         0         0         0         
72        0.2       0.2       0.4307    0.4307    
74        0.2       0.2       0.4307    0.4307    
79        0         0         0         0         
80        0         0         0         0         
81        0         0         0         0         
82        0         0         0         0         
83        0         0         0         0         
84        0.1429    0.1429    0.3562    0.3562    
85        0         0         0         0         
86        0         0         0         0         
87        0         0         0         0         
93        0         0         0         0         
94        0         0         0         0         
95        0         0         0         0         
97        0         0         0         0         
98        0         0         0         0         
99        0         0         0         0         
100       0         0         0         0         
101       0.1429    0.1429    0.3562    0.3562    
102       0         0         0         0         
103       0         0         0         0         
104       0         0         0         0         
105       0         0         0         0         
106       0         0         0         0         
107       0         0         0         0         
108       0         0         0         0         
109       0         0         0         0         
110       0         0         0         0         
111       0         0         0         0         
112       0         0         0         0         
113       0         0         0         0         
114       0         0         0         0         
116       0         0         0         0         
118       0         0         0         0         
119       0         0         0         0         
120       0         0         0         0         
121       0.1429    0.1429    0.3562    0.3562    
122       0         0         0         0         
123       0         0         0         0         
126       0         0         0         0         
128       0         0         0         0         
130       0         0         0         0         
131       0         0         0         0         
132       0         0         0         0         
133       0         0         0         0         
135       0         0         0         0         
136       0         0         0         0         
137       0         0         0         0         
138       0         0         0         0         
139       0         0         0         0         
140       0         0         0         0         
141       0         0         0         0         
142       0         0         0         0         
143       0         0         0         0         
145       0         0         0         0         
146       0         0         0         0         
147       0         0         0         0         
148       0         0         0         0         
149       0         0         0         0         
150       0.3333    0.2292    0.2524    0.4024    
152       0         0         0         0         
153       0         0         0         0         
154       0         0         0         0         
155       0         0         0         0         
156       0         0         0         0         
157       0         0         0         0         
158       0         0         0         0         
160       0         0         0         0         
161       0         0         0         0         
163       0.8333    0.8333    0.8524    0.8524    
164       0         0         0         0         
165       1.0       1.0       1.0       1.0       
167       0         0         0         0         
168       0         0         0         0         
169       0         0         0         0         
170       0         0         0         0         
171       0         0         0         0         
173       0         0         0         0         
175       0         0.0922    0.0       0.2492    
176       0         0.0556    0.0       0.2398    
177       0         0         0         0         
181       0         0         0         0         
182       0         0         0         0         
183       0.25      0.25      0.5       0.5       
184       0         0         0         0         
187       0         0         0         0         
189       0         0         0         0         
190       0         0         0         0         
196       0         0.0556    0.0       0.2398    
200       0         0         0         0         
201       0.1429    0.1429    0.3562    0.3562    
202       0         0         0         0         
203       0         0         0         0         
204       1.0       1.0       1.0       1.0       
205       0         0         0         0         
206       0         0         0         0         
208       0         0         0         0         
209       0         0         0         0         
210       0         0         0         0         
211       0         0         0         0         
212       0         0         0         0         
213       0         0         0         0         
214       0         0         0         0         
215       0         0         0         0         
216       0         0         0         0         
217       0         0         0         0         
218       0         0         0         0         
219       0         0.0714    0.0       0.2626    
223       0         0         0         0         
224       0         0         0         0         
225       0         0         0         0         
226       0         0         0         0         
227       0         0         0         0         
230       0         0         0         0         
231       0         0         0         0         
232       0         0         0         0         
233       0         0         0         0         
234       0         0.0588    0.0       0.2447    
241       0         0         0         0         
245       0         0         0         0         
246       0         0         0         0         
247       0         0         0         0         
250       0         0         0         0         
251       0         0         0         0         
252       0         0         0         0         
253       0         0         0         0         
254       0         0         0         0         
255       0.25      0.25      0.5       0.5       
257       0.1667    0.1667    0.3869    0.3869    
259       0         0         0         0         
261       0         0         0         0         
264       0         0         0         0         
265       0         0         0         0         
266       0         0         0         0         
267       0         0         0         0         
268       0.3333    0.3333    0.6309    0.6309    
269       0         0.0588    0.0       0.2447    
272       0         0         0         0         
273       0         0         0         0         
274       0.25      0.25      0.5       0.5       
275       0         0         0         0         
277       0         0         0         0         
283       0         0         0         0         
284       0.1429    0.127     0.1781    0.298     
285       0         0         0         0         
288       0         0         0         0         
291       0         0         0         0         
292       0.1429    0.1429    0.3562    0.3562    
293       0.2       0.2       0.4307    0.4307    
294       0.3611    0.2907    0.4438    0.5478    
295       0         0         0         0         
296       0         0         0         0         
297       0         0         0         0         
